col,sky,wavelength
0,0,12401.956
1,0,12400.557
2,0,12399.158
3,0,12397.758
4,0,12396.359
5,0,12394.96
6,0,12393.561
7,0,12392.162
8,0,12390.762
9,0,12389.363
10,0,12387.963
11,0,12386.564
12,0.305,12385.165
13,0.3,12383.766
14,0.273,12382.366
15,0.274,12380.966
16,0.301,12379.567
17,0.309,12378.167
18,0.304,12376.768
19,0.277,12375.368
20,0.275,12373.969
21,0.294,12372.569
22,0.284,12371.17
23,0.296,12369.771
24,0.266,12368.371
25,0.287,12366.971
26,0.303,12365.571
27,0.308,12364.172
28,0.335,12362.772
29,0.326,12361.372
30,0.289,12359.973
31,0.317,12358.573
32,0.312,12357.173
33,0.361,12355.773
34,0.537,12354.373
35,0.824,12352.974
36,0.862,12351.574
37,0.717,12350.174
38,0.563,12348.774
39,0.379,12347.374
40,0.309,12345.974
41,0.3,12344.574
42,0.272,12343.174
43,0.291,12341.775
44,0.322,12340.374
45,0.307,12338.974
46,0.321,12337.574
47,0.334,12336.174
48,0.276,12334.775
49,0.286,12333.374
50,0.269,12331.974
51,0.297,12330.574
52,0.39,12329.174
53,0.494,12327.774
54,0.579,12326.374
55,0.562,12324.974
56,0.448,12323.573
57,0.35,12322.173
58,0.305,12320.773
59,0.321,12319.372
60,0.3,12317.972
61,0.304,12316.572
62,0.342,12315.171
63,0.319,12313.771
64,0.299,12312.371
65,0.326,12310.97
66,0.316,12309.57
67,0.306,12308.17
68,0.344,12306.769
69,0.331,12305.369
70,0.328,12303.968
71,0.343,12302.568
72,0.316,12301.167
73,0.317,12299.767
74,0.313,12298.366
75,0.322,12296.966
76,0.311,12295.565
77,0.307,12294.165
78,0.344,12292.764
79,0.367,12291.363
80,0.554,12289.962
81,1.02,12288.562
82,1.21,12287.161
83,1.03,12285.76
84,0.638,12284.359
85,0.386,12282.959
86,0.322,12281.558
87,0.305,12280.157
88,0.314,12278.757
89,0.307,12277.356
90,0.328,12275.954
91,0.314,12274.554
92,0.31,12273.153
93,0.311,12271.752
94,0.314,12270.351
95,0.331,12268.95
96,0.331,12267.549
97,0.341,12266.148
98,0.343,12264.747
99,0.317,12263.346
100,0.338,12261.945
101,0.422,12260.544
102,0.637,12259.143
103,0.721,12257.742
104,0.585,12256.34
105,0.435,12254.94
106,0.359,12253.538
107,0.353,12252.137
108,0.376,12250.736
109,0.362,12249.334
110,0.375,12247.934
111,0.324,12246.532
112,0.332,12245.131
113,0.346,12243.73
114,0.35,12242.328
115,0.333,12240.927
116,0.383,12239.525
117,0.35,12238.124
118,0.348,12236.723
119,0.352,12235.321
120,0.351,12233.92
121,0.509,12232.518
122,0.924,12231.117
123,1.26,12229.716
124,1.14,12228.314
125,0.693,12226.912
126,0.42,12225.511
127,0.384,12224.109
128,0.367,12222.708
129,0.332,12221.306
130,0.334,12219.905
131,0.303,12218.503
132,0.338,12217.101
133,0.349,12215.7
134,0.344,12214.298
135,0.366,12212.896
136,0.357,12211.494
137,0.354,12210.093
138,0.378,12208.691
139,0.354,12207.289
140,0.321,12205.887
141,0.336,12204.485
142,0.33,12203.084
143,0.339,12201.681
144,0.337,12200.28
145,0.406,12198.877
146,0.654,12197.476
147,0.703,12196.074
148,0.547,12194.672
149,0.381,12193.27
150,0.358,12191.868
151,0.322,12190.466
152,0.361,12189.064
153,0.346,12187.662
154,0.346,12186.26
155,0.337,12184.858
156,0.327,12183.455
157,0.39,12182.053
158,0.43,12180.651
159,0.407,12179.249
160,0.387,12177.846
161,0.374,12176.444
162,0.355,12175.042
163,0.397,12173.64
164,0.375,12172.238
165,0.348,12170.835
166,0.363,12169.433
167,0.36,12168.03
168,0.337,12166.628
169,0.329,12165.226
170,0.374,12163.824
171,0.392,12162.421
172,0.363,12161.018
173,0.358,12159.616
174,0.374,12158.214
175,0.452,12156.811
176,0.595,12155.409
177,0.501,12154.006
178,0.411,12152.603
179,0.396,12151.201
180,0.378,12149.799
181,0.368,12148.396
182,0.352,12146.993
183,0.383,12145.59
184,0.378,12144.188
185,0.42,12142.785
186,0.412,12141.382
187,0.395,12139.98
188,0.502,12138.577
189,0.832,12137.174
190,1.01,12135.772
191,0.781,12134.369
192,0.515,12132.966
193,0.453,12131.563
194,0.4,12130.16
195,0.393,12128.757
196,0.38,12127.354
197,0.525,12125.951
198,1.16,12124.549
199,2.01,12123.146
200,1.95,12121.743
201,1.07,12120.34
202,0.578,12118.936
203,0.417,12117.534
204,0.381,12116.131
205,0.359,12114.728
206,0.349,12113.324
207,0.351,12111.921
208,0.367,12110.518
209,0.329,12109.115
210,0.351,12107.712
211,0.366,12106.309
212,0.375,12104.905
213,0.364,12103.502
214,0.368,12102.099
215,0.362,12100.696
216,0.348,12099.292
217,0.378,12097.889
218,0.367,12096.486
219,0.355,12095.083
220,0.379,12093.679
221,0.356,12092.276
222,0.352,12090.872
223,0.361,12089.469
224,0.346,12088.065
225,0.359,12086.662
226,0.34,12085.258
227,0.38,12083.855
228,0.366,12082.451
229,0.343,12081.048
230,0.367,12079.644
231,0.366,12078.241
232,0.351,12076.837
233,0.353,12075.434
234,0.352,12074.03
235,0.363,12072.627
236,0.373,12071.223
237,0.36,12069.819
238,0.354,12068.415
239,0.384,12067.012
240,0.382,12065.608
241,0.354,12064.204
242,0.406,12062.8
243,0.398,12061.396
244,0.428,12059.993
245,0.492,12058.589
246,0.576,12057.185
247,0.69,12055.781
248,0.555,12054.377
249,0.391,12052.973
250,0.387,12051.569
251,0.394,12050.165
252,0.354,12048.762
253,0.382,12047.358
254,0.402,12045.953
255,0.409,12044.549
256,0.428,12043.146
257,0.388,12041.741
258,0.353,12040.337
259,0.382,12038.933
260,0.379,12037.529
261,0.351,12036.125
262,0.376,12034.721
263,0.527,12033.317
264,1.04,12031.912
265,1.22,12030.508
266,0.82,12029.103
267,0.493,12027.7
268,0.551,12026.295
269,0.775,12024.891
270,0.694,12023.486
271,0.477,12022.082
272,0.38,12020.678
273,0.379,12019.273
274,0.428,12017.869
275,0.405,12016.464
276,0.372,12015.06
277,0.39,12013.655
278,0.374,12012.251
279,0.38,12010.846
280,0.557,12009.442
281,1.02,12008.037
282,1.21,12006.633
283,0.765,12005.229
284,0.454,12003.824
285,0.534,12002.419
286,0.691,12001.015
287,0.639,11999.61
288,0.464,11998.206
289,0.412,11996.8
290,0.374,11995.396
291,0.39,11993.991
292,0.375,11992.586
293,0.471,11991.181
294,0.757,11989.777
295,0.86,11988.372
296,0.634,11986.967
297,0.503,11985.562
298,0.536,11984.158
299,0.528,11982.753
300,0.441,11981.347
301,0.39,11979.943
302,0.402,11978.538
303,0.476,11977.133
304,0.534,11975.728
305,0.584,11974.323
306,0.527,11972.918
307,0.505,11971.513
308,0.564,11970.108
309,0.596,11968.703
310,0.522,11967.298
311,0.404,11965.892
312,0.411,11964.487
313,0.427,11963.082
314,0.437,11961.677
315,0.409,11960.272
316,0.39,11958.867
317,0.392,11957.461
318,0.392,11956.056
319,0.387,11954.651
320,0.431,11953.246
321,0.466,11951.84
322,0.465,11950.434
323,0.402,11949.03
324,0.394,11947.624
325,0.398,11946.219
326,0.381,11944.813
327,0.399,11943.408
328,0.419,11942.003
329,0.4,11940.597
330,0.439,11939.192
331,0.445,11937.786
332,0.427,11936.38
333,0.417,11934.975
334,0.431,11933.569
335,0.392,11932.164
336,0.393,11930.758
337,0.371,11929.352
338,0.396,11927.946
339,0.398,11926.541
340,0.404,11925.136
341,0.425,11923.73
342,0.402,11922.324
343,0.415,11920.918
344,0.419,11919.512
345,0.42,11918.106
346,0.431,11916.701
347,0.433,11915.295
348,0.435,11913.889
349,0.4,11912.483
350,0.427,11911.077
351,0.441,11909.671
352,0.462,11908.266
353,0.429,11906.859
354,0.435,11905.453
355,0.436,11904.048
356,0.445,11902.641
357,0.438,11901.235
358,0.436,11899.829
359,0.438,11898.424
360,0.428,11897.018
361,0.393,11895.612
362,0.403,11894.205
363,0.419,11892.799
364,0.439,11891.393
365,0.434,11889.987
366,0.408,11888.581
367,0.445,11887.174
368,0.404,11885.768
369,0.445,11884.362
370,0.428,11882.955
371,0.442,11881.549
372,0.436,11880.143
373,0.394,11878.737
374,0.424,11877.331
375,0.434,11875.924
376,0.453,11874.518
377,0.419,11873.111
378,0.451,11871.704
379,0.47,11870.299
