lk,ukf_a0v,uks_a0v , fh,fl, fc
1150,0.181751,0.34868,0.181751,0,0
1155,0.203323,0.243639,0.203323,0,0
1160,0.142062,0.136682,0.142062,0,0
1165,0,0.059552,0,0,0
1170,0.00556,0.081533,0.00556,0,0
1175,0,0.033893,0,0,0
1180,0,0.061898,0,0,0
1185,0,0.004742,0,0,0
1190,0,0.173416,0,0,0
1195,0,0.057092,0,0,0
1200,0.001004,0.046503,0.001004,0,0
1205,0.010154,0.007034,0.010154,0,0
1210,0.022296,0.028344,0.022296,0,0
1215,0.030977,0.038603,0.030977,0,0
1220,0.038257,0.037313,0.038257,0,0
1225,0.03288,0.040582,0.03288,0,0
1230,0.034612,0.028608,0.034612,0,0
1235,0.036263,0.034303,0.036263,0,0
1240,0.032804,0.034999,0.032804,0,0
1245,0.044974,0.032344,0.044974,0,0
1250,0.08978,0.06287,0.08978,0,0
1255,0.107513,0.090259,0.107513,0,0
1260,0.102995,0.079077,0.102995,0,0
1265,0.163623,0.108001,0.163623,0,0
1270,0.287057,0.227334,0.287057,0,0
1275,0.339408,0.221405,0.339408,0,0
1280,0.464954,0.295732,0.464954,0,0
1285,0.543897,0.307459,0.543897,0,0
1290,0.583538,0.302578,0.583538,0,0
1295,0.652544,0.367518,0.652544,0,0
1300,0.56833,0.30763,0.56833,0,0
1305,0.465444,0.198582,0.465444,0,0
1310,0.558746,0.25487,0.558746,0,0
1315,0.815444,0.338368,0.815444,0,0
1320,0.91704,0.372772,0.91704,0,0
1325,0.916888,0.365764,0.916888,0,0
1330,0.866914,0.352744,0.866914,0,0
1335,0.921322,0.310758,0.921322,0,0
1340,1.129171,0.404015,1.129171,0,0
1345,1.148396,0.453781,1.148396,0,0
1350,1.041099,0.395089,1.041099,0,0
1355,0.968124,0.344802,0.968124,0,0
1360,0.997185,0.383092,0.997185,0,0
1365,1.005895,0.40941,1.005895,0,0
1370,1.014634,0.395522,1.014634,0,0
1375,1.075655,0.370279,1.075655,0,0
1380,1.069204,0.394298,1.069204,0,0
1385,1.104056,0.350462,1.104056,0,0
1390,1.125309,0.391,1.125309,0,0
1395,1.078729,0.345041,1.078729,0,0
1400,1.100604,0.386753,1.100604,0,0
1405,1.154207,0.350975,1.154207,0,0
1410,1.137578,0.351783,1.137578,0,0
1415,1.184795,0.345961,1.184795,0,0
1420,1.269107,0.411742,1.269107,0,0
1425,1.304509,0.388346,1.304509,0,0
1430,1.219985,0.366599,1.219985,0,0
1435,1.186735,0.34725,1.186735,0,0
1440,1.309849,0.38708,1.309849,0,0
1445,1.406803,0.426216,1.406803,0,0
1450,1.486661,0.409313,1.486661,0,0
1455,1.484581,0.380468,1.484581,0,0
1460,1.451358,0.381651,1.451358,0,0
1465,1.365868,0.340116,1.365868,0,0
1470,1.315616,0.370331,1.315616,0,0
1475,1.332583,0.347699,1.332583,0,0
1480,1.387421,0.389295,1.387421,0,0
1485,1.51995,0.434502,1.51995,0,0
1490,1.627695,0.423877,1.627695,0,0
1495,1.648123,0.410824,1.648123,0,0
1500,1.684521,0.421353,1.684521,0,0
1505,1.548495,0.41525,1.548495,0,0
1510,1.372714,0.298283,1.372714,0,0
1515,1.42765,0.297548,1.42765,0,0
1520,1.563507,0.376521,1.563507,0,0
1525,1.455529,0.36967,1.455529,0,0
1530,1.410062,0.340644,1.410062,0,0
1535,1.457652,0.364546,1.457652,0,0
1540,1.578568,0.379553,1.578568,0,0
1545,1.603379,0.341017,1.603379,0,0
1550,1.561301,0.302363,1.561301,0,0
1555,1.503601,0.290084,1.503601,0,0
1560,1.469595,0.2957,1.469595,0,0
1565,1.540034,0.284782,1.540034,0,0
1570,1.513548,0.273314,1.513548,0,0
1575,1.531422,0.245737,1.531422,0,0
1580,1.6506,0.268347,1.6506,0,0
1585,1.634291,0.227831,1.634291,0,0
1590,1.604415,0.226334,1.604415,0,0
1595,1.584613,0.215315,1.584613,0,0
1600,1.620305,0.213832,1.620305,0,0
1605,1.574995,0.199969,1.574995,0,0
1610,1.566226,0.207534,1.566226,0,0
1615,1.570178,0.186207,1.570178,0,0
1620,1.545103,0.217249,1.545103,0,0
1625,1.548708,0.209384,1.548708,0,0
1630,1.565555,0.213098,1.565555,0,0
1635,1.535559,0.231346,1.535559,0,0
1640,1.496622,0.203404,1.496622,0,0
1645,1.52779,0.186186,1.52779,0,0
1650,1.456422,0.221005,1.456422,0,0
1655,1.307141,0.237592,1.307141,0,0
1660,1.376759,0.205063,1.376759,0,0
1665,1.469498,0.241029,1.469498,0,0
1670,1.334264,0.225264,1.334264,0,0
1675,1.411232,0.257827,1.411232,0,0
1680,1.529826,0.214274,1.529826,0,0
1685,1.53379,0.204177,1.53379,0,0
1690,1.519363,0.20086,1.519363,0,0
1695,1.501917,0.17977,1.501917,0,0
1700,1.49516,0.174921,1.49516,0,0
1705,1.476834,0.180244,1.476834,0,0
1710,1.49811,0.179018,1.49811,0,0
1715,1.489971,0.178215,1.489971,0,0
1720,1.4391,0.169738,1.4391,0,0
1725,1.444888,0.16737,1.444888,0,0
1730,1.504957,0.170785,1.504957,0,0
1735,1.499872,0.155622,1.499872,0,0
1740,1.52096,0.145892,1.52096,0,0
1745,1.557133,0.182129,1.557133,0,0
1750,1.597241,0.170959,1.597241,0,0
1755,1.650849,0.197174,1.650849,0,0
1760,1.554383,0.177744,1.554383,0,0
1765,1.48154,0.168089,1.48154,0,0
1770,1.547907,0.190511,1.547907,0,0
1775,1.618634,0.238255,1.618634,0,0
1780,1.611885,0.184853,1.611885,0,0
1785,1.427459,0.204374,1.427459,0,0
